ID,Name,09/30/2001,12/31/2001,03/31/2002,06/30/2002,09/30/2002,12/31/2002,03/31/2003,06/30/2003,09/30/2003,12/31/2003,03/31/2004,06/30/2004,09/30/2004,12/31/2004,03/31/2005,06/30/2005,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014,09/30/2014,12/31/2014,03/31/2015,06/30/2015,09/30/2015,12/31/2015,03/31/2016,06/30/2016,09/30/2016,12/31/2016,03/31/2017,06/30/2017,09/30/2017,12/31/2017,03/31/2018,06/30/2018,09/30/2018,12/31/2018,03/31/2019,06/30/2019,09/30/2019,12/31/2019,03/31/2020,06/30/2020,09/30/2020,12/31/2020,03/31/2021,06/30/2021,09/30/2021,12/31/2021,03/31/2022,06/30/2022,09/30/2022,12/31/2022,03/31/2023,06/30/2023,09/30/2023,12/31/2023,03/31/2024,06/30/2024,09/30/2024,12/31/2024,03/31/2025,06/30/2025,09/30/2025,12/31/2025,03/31/2026,06/30/2026,09/30/2026,12/31/2026,03/31/2027,06/30/2027,09/30/2027,12/31/2027
5006,BitVault (Gem),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,867,722","2,867,722","2,867,722","2,867,722","1,000,000","3,798,811",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5007,Bouqs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,236,484","7,236,484","7,486,484","7,486,484","7,489,088","1,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008,Breakout Commerce / Gooten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,709,250","1,738,744","1,863,744","2,035,924","1,913,742","7,489,088",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009,Candy Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"616,699","616,699","616,699","616,699","1,064,471","2,013,742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5010,Canvs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,124,999","2,124,999","2,624,999","2,624,999","2,624,999","1,064,471",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5011,CodeVerse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"672,500","1,590,567","1,590,567","1,590,567","1,591,545","2,624,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5012,FanDuel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,638,689","2,980,057","2,980,057","2,980,057","2,482,669","1,591,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5013,FinTech Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950,000","1,450,000","1,450,000","1,450,000","1,450,000","2,482,669",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5014,HoneyBook (The Spot),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"979,405","979,405","979,405","979,405","979,405","1,450,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5015,TechStyle (JustFab),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,340,225","4,340,225","4,340,225","4,340,225","4,340,225","979,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5016,KidAdmit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"4,340,222",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5017,Mahaya (Katch),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5018,Markett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"700,000","700,000","700,000","700,000","700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019,MatterIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5020,Navisens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"849,999","849,999","849,999","849,999","849,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5021,Patch (Bauxy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,250,000","1,650,000","1,650,000","1,650,000","1,650,000","849,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5022,"Particle Ventures 2018, LP",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"200,086","400,086","400,086","400,086","356,770","1,650,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5023,Rocksbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,937,499","3,937,499","3,937,499","4,587,498","4,587,498","356,770",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5024,Sanctuary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000","500,000","500,000","500,000","500,000","4,587,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5025,TalentShare (fka Better Company),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"294,241","294,241","294,241","294,241","27,164","750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026,Team Pay (Team Labs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,056,101","1,056,101","1,056,101","1,056,101","1,056,101","27,164",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027,The Cotery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"1,056,101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5028,The Feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"900,000","900,000","900,000","1,293,529","1,466,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5029,TrueAnthem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000,000","2,000,000","2,000,000","2,416,667","2,416,667","1,466,113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5030,Virgil Security,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,499,999","1,499,999","1,499,999","1,499,999","1,499,999","2,416,667",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031,Wigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,499,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6001,Bleximo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"99,999","99,999","99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,Elementary Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,115","50,115","50,115","99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6003,Fox Robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000","50,000","50,000","99,999",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6004,Mighty Buildings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000","50,000","50,000","102,581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6005,"Mission Barns, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"50,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7001,Absolute Return - Kyra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,002",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7002,Absolute Return - Noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7003,Belhurst CLO Income NTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7004,Dryden IX Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7005,DBG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7006,Franklin CLO IV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7007,G Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7008,G Capital GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7009,GS Capital Partners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,837","7,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7010,GS Global Opportunities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7011,GS Global Opportunities II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7012,GS Mezzanine II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7013,GS PEP Tech Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,769",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,Longport Funding II Income Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,Michael Kors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,Silver Lake Trust II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,Taberna CDO/CLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,Tishman Speyer Traveler's Insurance Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"168,242",,,,,,,,"119,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,Tower Square Capital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,426",,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,Vertose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7021,Whitehall Street Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,038",,,,,,,,,,"21,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,548",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
